**** BEGIN LOGGING AT Thu Nov 11 19:30:53 2010

Nov 11 20:46:13 <jotamjr_>	eso vende.
Nov 11 20:46:23 <fcodiaz>	no tenemos a nadie
Nov 11 20:46:31 <fcodiaz>	te interesa eso?
Nov 11 20:46:37 <fcodiaz>	yo para eso no sirvo
Nov 11 20:46:41 <jotamjr_>	fcodiaz: /me esta nulo en eso :\
Nov 11 20:46:48 <fcodiaz>	uta
Nov 11 20:46:53 <jotamjr_>	a puros frameworks css me voy yo :)
Nov 11 20:46:59 <fcodiaz>	habria que buscar a alguien que nos ayude con eso
Nov 11 20:47:08 <jotamjr_>	si
Nov 11 20:47:11 <fcodiaz>	por cierto alguien ha contactado a cisko o sosorios?
Nov 11 20:48:24 <emonge>	sosorio no
Nov 11 20:48:38 <emonge>	y cisko anda algo busy con su hijo.new
Nov 11 20:48:46 <fcodiaz>	cierto
Nov 11 20:48:57 <emonge>	pero le hare el recordatorio
Nov 11 20:49:01 <emonge>	para ver si aparece el jueves
Nov 11 20:49:12 <fcodiaz>	jotamjr_, voy a agregar lo del diseno grafico a la lista de tareas pendientes y sin duenio
Nov 11 20:49:27 <emonge>	con el disnio ygrafico, yo podria ver que ondas
Nov 11 20:49:39 <emonge>	puta que feo escribi
Nov 11 20:49:47 <emonge>	con el disenio grafico, yo podria ver que ondas
Nov 11 20:50:01 <fcodiaz>	en serio
Nov 11 20:50:04 <fcodiaz>	logo, colores
Nov 11 20:50:04 <emonge>	no ando tan hecho mierda como ustedes
Nov 11 20:50:08 <emonge>	si
Nov 11 20:50:17 <fcodiaz>	pero para esos tienes tiempo
Nov 11 20:50:21 <fcodiaz>	no la proxima semana
Nov 11 20:50:29 <fcodiaz>	cuando tengas algo nos lo muestras
Nov 11 20:50:34 <emonge>	si
Nov 11 20:50:37 <fcodiaz>	ok
Nov 11 20:50:38 <emonge>	trabajare en ello
Nov 11 20:50:46 <fcodiaz>	entonces te voy a poner como el duenio de esta tarea
Nov 11 20:50:49 <fcodiaz>	en el wiki
Nov 11 20:50:53 <fcodiaz>	algo mas senores?
Nov 11 20:51:27 <emonge>	por mi no
Nov 11 20:51:27 <jotamjr_>	elsimio: el googledoc se cierra con lo que tiene para este primer prototipo?
Nov 11 20:51:32 <fcodiaz>	sino damos por concluida esta reunion
Nov 11 20:51:55 <fcodiaz>	si jotamjr_ voy a pasar eso al wiki
Nov 11 20:51:59 <fcodiaz>	en la lista de caracteristicas
Nov 11 20:52:04 <elsimio>	por el momento si
Nov 11 20:52:10 <fcodiaz>	hey por cierto los que no tienen cuenta en el github por favor
Nov 11 20:52:15 <fcodiaz>	para agregarlos como colaboradores
Nov 11 20:52:19 <jotamjr_>	ok!
Nov 11 20:52:33 <emonge>	fcodiaz, adduser emonge
Nov 11 20:52:33 <fcodiaz>	jotamjr_, tu ya estas si no me equivoco
Nov 11 20:52:40 <fcodiaz>	emonge, es tu usuario en github
Nov 11 20:52:44 <emonge>	si
Nov 11 20:53:06 <fcodiaz>	listo
Nov 11 20:53:09 <fcodiaz>	ya estas
Nov 11 20:53:45 <emonge>	ok
Nov 11 20:53:46 <fcodiaz>	bueno quedamos asi, voy a pasar la minuta, el transcript del chat y la agenda para la prox reunion
Nov 11 20:54:03 <fcodiaz>	algo mas?
Nov 11 20:54:12 <emonge>	fcodiaz added emonge to Solicont about a minute ago
Nov 11 20:54:26 <fcodiaz>	;)
Nov 11 20:54:29 <jotamjr_>	fcodiaz: sep
Nov 11 20:55:11 <fcodiaz>	bueno damos por terminada la reunion si no hay nada mas en el tintero
Nov 11 20:55:59 <emonge>	ok
Nov 11 20:56:05 <emonge>	commit;
Nov 11 20:56:42 <jotamjr_>	:)
