**** BEGIN LOGGING AT Tue Nov 23 19:56:21 2010

Nov 23 20:36:08 <elsimio>	entonces en esa pagina de oagis ya existen webservices, diagramas, etc
Nov 23 20:36:42 <elsimio>	que si uno tuviera el tiempo suficiente, no se tendria que reinventar la rueda, sino solo tomar lo necesario como por ejemplo compras, ventas, inventarios, etc
Nov 23 20:36:59 <elsimio>	y de ahi partir, pues como es un estandar otros ya se pegaron la quebrada de coco con las transacciones
Nov 23 20:37:15 <elsimio>	me lo sugirio el, que trabaja en cierta parte con eso
Nov 23 20:37:24 <elsimio>	y yo solo tiro la idea al aire
Nov 23 20:37:39 <elsimio>	como para que podamos darle una mirada un poco mas extensa y ver que hay de bueno en eso
Nov 23 20:37:50 <elsimio>	y sino ni modo, solicont guanaco
Nov 23 20:37:51 <CiskoSV>	elsimio: no  has tenido la oportunidad de revisarlo?
Nov 23 20:38:03 <fcodiaz>	mas a fondo
Nov 23 20:38:16 <elsimio>	solo he visto medio lo descargado, no bajado nada ni leer documentos, y la paja q el maje me ha dado
Nov 23 20:38:29 <elsimio>	podria leer un poco mas y estarle consultando al chero de aca
Nov 23 20:38:42 <elsimio>	de hecho hasta me menciono q xtecuan ya habia hablado antes con el
Nov 23 20:38:56 <elsimio>	y tambien este chero le sugirio eso para algo "contable"
Nov 23 20:39:19 <elsimio>	pero como xtecuan es inventor le dijo que primero queria crear su propio lenguaje de programacion
Nov 23 20:39:30 <fcodiaz>	ok, me parece la idea, de hecho en lo que se refiere a no reinventar la rueda, tambien recordemos que hay soluciones open source como OpenERP que tambien creo que hacen lo mismo que quiere hacer solicont, entre otras
Nov 23 20:40:01 <elsimio>	si, yo ya toque openerp
Nov 23 20:40:12 <fcodiaz>	y quiza valdria la pena revisar que se ha hecho y si podriamos tropizalizar el proyecto
Nov 23 20:40:21 <fcodiaz>	y adecuarlo a solicont
Nov 23 20:40:27 <fcodiaz>	para no reinventar la rueda
Nov 23 20:41:12 <jotamjr>	si, creo que eso ayudaría mucho ya que existen excelentes erp's
Nov 23 20:41:16 <elsimio>	bueno ahi mi punto
Nov 23 20:41:21 <fcodiaz>	elsimio, gracias
Nov 23 20:41:29 <fcodiaz>	es una alternativa muy valida
Nov 23 20:41:45 <fcodiaz>	ahi creo que lo que convendria es trabajar en grupos de 2 o 3 personas 
Nov 23 20:41:57 <fcodiaz>	para que cada grupo analize una solucion y nos de su propuesta
Nov 23 20:42:01 <fcodiaz>	que opinan?
Nov 23 20:42:08 <fcodiaz>	asi como estamos haciendo con los lenguajes
Nov 23 20:42:32 <elsimio>	el problema de tomar un erp ya existente
Nov 23 20:42:44 <jotamjr>	fcodiaz: con oagi o los erp's?
Nov 23 20:42:47 <elsimio>	es q primero uno tiene q medio aprender a usarlo y despues ver como funciona
Nov 23 20:43:02 <fcodiaz>	elsimio, exacto, jotamjr los erps
Nov 23 20:43:09 <darkness51>	elsimio: openerp tiene un framework con bastante documentacion
Nov 23 20:43:22 <jotamjr>	si, entender el api, a veces puede ser bastante complejo
Nov 23 20:43:52 <fcodiaz>	que a la larga tal vez nos permitiria tener resultados en menos tiempo pues ya parte del camino se ha recorrido
Nov 23 20:44:44 <CiskoSV>	fcodiaz: eso si encontramos que si es aplicable... sino... nos atrasamos...
Nov 23 20:44:53 <fcodiaz>	pueda ser
Nov 23 20:45:08 <jotamjr>	xD
Nov 23 20:45:17 <fcodiaz>	a mi me parece la idea, pero tiene que ser concenso entre todos
